Index,Time,(odometrySubsystem).z[0],(odometrySubsystem).z[1],(odometrySubsystem).z[2],(odometrySubsystem).z[3],(odometrySubsystem).z[4],(odometrySubsystem).z[5],(odometrySubsystem).z[6],(odometrySubsystem).z[7],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::standard::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],(odometrySubsystem).chassisYaw,(odometrySubsystem).yawOffset,(odometrySubsystem).yawOffsetInitialized
0,0.000000,0,0,0,0,0.0863786638,0.183971822,0.000286022841,-3.12194657,-0.182239428,0.0899761021,9.69529533,0.00424827542,-0.00162612647,0.000286022841,-3.11920023,-0.000254631042,1
1,0.009983,0.333723456,0,0,-0.439304113,-0.813015103,0.00606724806,-0.0114318859,-3.13322949,0.129113123,0.30792287,9.46058369,0.0212925076,0.00263493136,-0.0114318859,-3.11935282,-0.000254631042,1
2,0.019959,0.90961796,0,0,-0.845383644,-2.8222096,3.22622705,-0.0380634964,-3.13645673,-5.7817955,-4.25698471,9.72643089,-0.0181222782,0.0772034451,-0.018888738,-3.1198411,-0.000254631042,1
3,0.029976,0.543408155,-0.00664493674,-0.0036916316,-0.691073418,-8.53067875,4.83997726,-0.106240422,-3.14040184,-6.7709384,-8.80752182,12.5501595,-0.351550043,0.272146821,-0.124349914,-3.12057352,-0.000254631042,1
4,0.039964,-0.947272658,-0.04356125,-0.0081215892,0.479912072,-3.40583849,-1.05176556,-0.10197936,-3.14072227,1.8008368,1.35215139,16.1857986,-0.462337554,0.39784807,-0.163764715,-3.12179422,-0.000254631042,1
5,0.049978,0.100412376,-0.0391312912,-0.0221497901,-0.366209835,6.1406455,-2.35262108,-0.304379612,-3.13119245,5.19697428,3.65616035,9.34322739,-0.0372970402,-0.0229314156,-0.278813273,-3.12405252,-0.000254631042,1
6,0.059963,-0.0775242597,-0.145450279,-0.012551547,0.0317480303,6.87981987,-3.63394952,-0.13287203,-3.11649299,1.95890808,6.70741558,9.16120625,0.252454907,-0.316944391,-0.0710866973,-3.12594461,-0.000254631042,1
7,0.069960,-0.053159494,-0.182366595,-0.00516828429,-0.0347013362,4.71440363,-0.948384941,0.0876377076,-3.11360621,0.756608248,3.91482234,6.57458496,0.333415002,-0.459689826,0.0972250924,-3.12568521,-0.000254631042,1
8,0.079956,-0.221497893,-0.182366595,-0.105580665,0.0302713774,2.48965573,2.7121985,0.166467279,-3.11471844,-4.89803314,1.06474912,10.7419195,0.330219209,-0.289247513,0.187772557,-3.12458658,-0.000254631042,1
9,0.089953,-0.207469687,-0.191964835,-0.118132211,-0.0915524587,2.66886115,-0.368091702,0.230383143,-3.11892438,0.411725432,3.87889719,13.4099712,0.206648529,-0.110283099,0.258080006,-3.12274027,-0.000254631042,1
10,0.099962,-0.0945057645,-0.176459983,-0.145450279,-0.0959824175,1.86022222,-1.45773733,0.394433856,-3.11392307,0.485971034,3.88847733,10.4976273,0.0394020006,0.0122223105,0.434913903,-3.11981058,-0.000254631042,1
11,0.109959,-0.182366595,-0.125515476,-0.155048519,-0.12108551,0.781972289,-0.729528368,0.541440368,-3.10320282,0.759003282,0.753396511,10.373086,-0.069254972,0.0505718328,0.546766698,-3.11537027,-0.000254631042,1
12,0.119956,-0.136590362,-0.156525165,-0.199348107,-0.207469687,1.57913315,-0.00108966522,0.587246716,-3.09386849,0.0764226913,1.57728326,10.5215778,-0.0447538905,0.0899866223,0.605356216,-3.11018229,-0.000254631042,1
13,0.129964,-0.180889934,-0.138067007,-0.221497893,-0.194918156,0.674115121,-0.424097568,0.612813056,-3.08795881,0.45962581,0.650410652,10.0737085,-0.0532760061,0.0782687142,0.614943624,-3.10441446,-0.000254631042,1
14,0.139960,-0.167600065,-0.167600065,-0.199348107,-0.211899653,-0.216282278,0.0312614106,0.61920464,-3.08554411,-0.0433282889,-0.214191392,8.92409897,-0.0479496866,0.0793339759,0.61920464,-3.09861612,-0.000254631042,1
15,0.159984,-0.241432697,-0.155048519,-0.256937563,-0.173506677,-0.937841535,-0.308544785,0.562745631,-3.07355762,0.244074062,-0.956647515,10.8544855,0.0202272423,0.0558981523,0.562745631,-3.08740091,-0.000254631042,1
16,0.169957,-0.139543667,-0.138067007,-0.153571874,-0.118132211,-0.822885275,0.615545332,0.571267784,-3.06331468,-0.678008497,-0.772230983,10.928731,0.0319451503,0.00689598918,0.571267784,-3.0818162,-0.000254631042,1
17,0.179982,-0.199348107,-0.132898733,-0.131422073,-0.172030017,-0.434646875,0.179356754,0.571267784,-3.0562098,-0.215769708,-0.417768091,10.6772537,-0.0362317748,0.00689598918,0.571267784,-3.07606363,-0.000254631042,1
18,0.189955,-0.138067007,-0.214852944,-0.136590362,-0.148403585,-0.189323679,0.442688763,0.560615122,-3.05324554,-0.457666695,-0.149525866,8.65825176,-0.0735160336,0.00370019581,0.560615122,-3.07040262,-0.000254631042,1
19,0.199984,-0.159478486,-0.122562163,-0.131422073,-0.174983323,0.940312147,-0.0621814951,0.556354046,-3.04962707,0.148273274,0.930628002,7.98764658,-0.0884297341,0.0154181039,0.556354046,-3.06474161,-0.000254631042,1
20,0.209958,-0.146926939,-0.197871432,-0.131422073,-0.141020313,-0.15273954,0.295691729,0.552093029,-3.04393363,-0.309175491,-0.12318065,9.4054985,-0.0287749227,0.0122223105,0.552093029,-3.05920267,-0.000254631042,1
21,0.219955,-0.149880245,-0.108533971,-0.138067007,-0.159478486,-0.27057305,-0.0475572273,0.546766698,-3.0366106,0.0189422201,-0.274066895,10.4353571,0.0180967133,-0.0144093009,0.546766698,-3.05354166,-0.000254631042,1
22,0.229964,-0.173506677,-0.143973619,-0.146926939,-0.179413289,-0.570472002,0.769457698,0.533983529,-3.02855492,-0.828894734,-0.480038583,10.4090118,-0.00640436914,-0.0229314156,0.533983529,-3.04798746,-0.000254631042,1
23,0.239960,-0.12108551,-0.129945427,-0.128468782,-0.15800184,-0.114027165,-0.247242063,0.518004537,-3.02359414,0.232098967,-0.142340809,9.85815716,-0.0532760061,-0.0325187966,0.518004537,-3.04250956,-0.000254631042,1
24,0.249957,-0.115917228,-0.101150699,-0.152095214,-0.218544587,-0.116124667,0.531379223,0.503090858,-3.02095199,-0.541492403,-0.0513300598,8.02836227,-0.0799076185,-0.0303882677,0.503090858,-3.03724527,-0.000254631042,1
25,0.259964,-0.107057318,-0.145450279,-0.124038823,-0.114440568,-0.192958102,0.0292003006,0.490307659,-3.01723742,-0.0529083684,-0.187846184,8.80434799,-0.041558098,-0.023996681,0.490307659,-3.03201151,-0.000254631042,1
26,0.269961,-0.107057318,-0.111487262,-0.108533971,-0.111487262,0.114976093,0.517611265,0.460480273,-3.01183176,-0.498382032,0.180986851,10.0305986,-0.00427384023,-0.0303882677,0.460480273,-3.02708292,-0.000254631042,1
27,0.279958,-0.138067007,-0.126992121,-0.101150699,-0.172030017,-0.133270353,0.886083603,0.440240234,-3.00682735,-0.895955324,-0.0130097447,10.7491045,-0.00107804674,-0.0378451198,0.440240234,-3.02319193,-0.000254631042,1
28,0.289955,-0.139543667,-0.149880245,-0.143973619,-0.0790009201,-0.114511229,-0.294008076,0.416804433,-3.00196242,0.275209308,-0.154315904,10.4185915,-0.0479496866,-0.00695244875,0.416804433,-3.01855326,-0.000254631042,1
29,0.299981,-0.0310097057,-0.0516828448,-0.122562163,-0.136590362,-0.28535825,-0.210215166,0.423196018,-2.99869275,0.167433441,-0.312387228,8.87140846,-0.0511454791,-0.0314535312,0.423196018,-3.01405191,-0.000254631042,1
30,0.309954,-0.152095214,-0.145450279,-0.0686643422,-0.114440568,-0.551689565,0.156574368,0.39549914,-2.9960506,-0.23492986,-0.523148954,9.10612106,-0.031970717,-0.0144093009,0.39549914,-3.00959635,-0.000254631042,1
31,0.319994,-0.0930291116,-0.107057318,-0.132898733,-0.163908437,0.213775873,0.0370922126,0.363541186,-2.99287677,-0.0050079762,0.216912135,10.2940502,-0.00960016251,-0.0186703578,0.363541186,-3.0054307,-0.000254631042,1
32,0.329981,-0.0634960607,-0.0701410025,-0.115917228,-0.114440568,-0.682550132,0.130610406,0.375259101,-2.98946786,-0.232534841,-0.65487504,10.2868652,-0.0117306914,-0.0165398289,0.375259101,-3.00144815,-0.000254631042,1
33,0.339997,-0.0465145558,-0.132898733,-0.0546361469,-0.0804775655,-0.153092876,0.0875698701,0.343301177,-2.98489046,-0.110388838,-0.137550771,9.6186552,-0.0266443938,-0.0271924734,0.343301177,-2.99755716,-0.000254631042,1
34,0.349983,-0.142496973,-0.0930291116,-0.131422073,-0.152095214,0.152261734,0.267425328,0.319865346,-2.98142886,-0.239719898,0.192961946,9.23784637,-0.0383623056,-0.0197356232,0.319865346,-2.9938798,-0.000254631042,1
35,0.360004,-0.0251030941,-0.0730943009,-0.0775242597,-0.0760476068,-0.263119429,-0.207853645,0.330518007,-2.97942352,0.162643403,-0.293227047,9.8749218,-0.0138612203,-0.0133440364,0.330518007,-2.9903245,-0.000254631042,1
36,0.369981,-0.110010616,-0.0701410025,-0.0885991603,-0.0546361469,-0.38686797,0.540574074,0.301755846,-2.97726965,-0.596577823,-0.293227047,9.85815716,0.0031830112,-0.0186703578,0.301755846,-2.98684549,-0.000254631042,1
37,0.379954,-0.0206731372,-0.0885991603,-0.0620194115,-0.0790009201,-0.00890376233,-0.183458328,0.285776883,-2.97414827,0.179408535,-0.0393549614,9.99467278,-0.0255791284,-0.012278772,0.285776883,-2.98364115,-0.000254631042,1
38,0.389995,-0.0634960607,-0.101150699,-0.0930291116,-0.114440568,-0.309970945,0.508131087,0.264471591,-2.97059083,-0.553467512,-0.21898143,9.43902874,-0.0309054516,-0.0176050942,0.264471591,-2.98054361,-0.000254631042,1
39,0.399981,-0.0760476068,-0.0546361469,-0.0479912087,-0.0959824175,0.448819786,-0.028478289,0.258080006,-2.9689343,0.105162926,0.437253922,9.69529533,-0.0213180706,-0.00695244875,0.258080006,-2.97762918,-0.000254631042,1
