Index,Time,((((((aruwsrc::sentry::DriversSingleton::drivers).turretMajorPrimaryImu).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::sentry::DriversSingleton::drivers).turretMajorPrimaryImu).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::sentry::DriversSingleton::drivers).turretMajorPrimaryImu).imuData).gyroOffsetRaw).coordinates_).data)._M_elems[2],((((((aruwsrc::sentry::DriversSingleton::drivers).turretMajorPrimaryImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::sentry::DriversSingleton::drivers).turretMajorPrimaryImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::sentry::DriversSingleton::drivers).turretMajorPrimaryImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2]
28,0.279974,-0.0311653614,9.78760529,0.00341688166,-0.00498879887,0.000315978192,-0.00158428587
29,0.289856,-0.00363849103,9.83428097,0.00341688166,-0.0147626437,-0.00212748349,-0.00097342045
30,0.299880,-0.0108194128,9.81393528,0.00341688166,-0.00926485658,-0.000905752648,-0.000362555031
31,0.309919,-4.80413437e-05,9.83547783,0.00341688166,-0.00804312527,0.00153770857,0.000859175576
32,0.319918,0.00114879012,9.82949352,0.00341688166,-0.0110974517,0.00153770857,-0.00219515106
33,0.329906,-0.0383462682,9.80795097,0.00341688166,-0.00804312527,0.00459203497,-0.000362555031
34,0.340090,0.00952653587,9.79119682,0.00341688166,-0.00559966452,0.00214857399,0.0026917716
35,0.349781,-0.00842577219,9.81752586,0.00341688166,-0.00804312527,-0.00151661783,-0.00158428587
36,0.359806,0.00952653587,9.83667564,0.00341688166,-0.00865399092,0.000315978192,0.000248309923
37,0.370077,-0.00603213161,9.82350922,0.00341688166,-0.00559966452,-0.000294887461,-0.00097342045
38,0.380024,-0.0132130608,9.79837608,0.00341688166,-0.00926485658,0.00581376534,0.00147004076
39,0.390043,0.0238883644,9.81872177,0.00341688166,-0.00743226055,0.000926843146,-0.00280601624
40,0.400024,-4.80413437e-05,9.81872177,0.00341688166,-0.00926485658,0.00642463099,-0.00219515106
41,0.409918,0.0083297044,9.79239273,0.00341688166,-0.00621052925,0.00398116978,0.00208090595
42,0.419948,0.014313817,9.84505272,0.00341688166,-0.0135409134,0.000315978192,-0.00097342045
43,0.429993,-0.0144098774,9.82470703,0.00341688166,-0.00804312527,-0.000294887461,0.000859175576
44,0.440006,-0.0144098774,9.79239273,0.00341688166,-0.00621052925,0.00275943917,-0.00097342045
45,0.449881,-0.0168035105,9.80316353,0.00341688166,-0.010486586,0.000926843146,-0.00158428587
46,0.459931,-0.0048353225,9.81273746,0.00341688166,-0.0068213949,0.000926843146,0.00147004076
47,0.469956,-0.0048353225,9.82949352,0.00341688166,-0.00865399092,0.00214857399,-0.00219515106
48,0.479956,0.014313817,9.85582447,0.00341688166,-0.00743226055,0.00275943917,0.00208090595
49,0.489830,0.0083297044,9.80795097,0.00341688166,-0.00559966452,0.000926843146,-0.00402774708
50,0.499856,-0.00363849103,9.81034565,0.00341688166,-0.0098757213,-0.000294887461,-0.000362555031
51,0.509906,-0.00603213161,9.79837608,0.00341688166,-0.0110974517,0.000315978192,-0.000362555031
52,0.519907,-0.0168035105,9.7995739,0.00341688166,-0.00804312527,-0.000905752648,-0.00280601624
53,0.529781,-0.0132130608,9.82590389,0.00341688166,-0.00743226055,-0.000905752648,0.00147004076
54,0.539794,0.0107233524,9.816329,0.00341688166,-0.00559966452,0.000315978192,-0.00463861227
55,0.549819,-0.0132130608,9.81872177,0.00341688166,-0.00743226055,0.000926843146,-0.00219515106
56,0.559844,-0.0144098774,9.80436039,0.00341688166,-0.00743226055,0.000315978192,-0.00219515106
57,0.570042,-0.00244166702,9.80555725,0.00341688166,-0.00865399092,0.00398116978,0.000248309923
58,0.580068,0.0238883644,9.83906937,0.00341688166,-0.00621052925,0.00153770857,-0.00402774708
59,0.590376,-4.80413437e-05,9.82949352,0.00341688166,-0.00743226055,0.00642463099,-0.00219515106
60,0.599781,0.0155106336,9.85343075,0.00341688166,-0.00621052925,-0.000905752648,-0.00158428587
61,0.609819,0.00234560668,9.81991959,0.00341688166,-0.00621052925,0.00398116978,-0.000362555031
62,0.620017,0.0131169856,9.8270998,0.00341688166,-0.0110974517,0.000926843146,0.000859175576
63,0.630043,0.00473925471,9.80795097,0.00341688166,-0.00804312527,-0.00396007905,-0.00280601624
64,0.640044,0.0191010982,9.83188725,0.00341688166,-0.010486586,-0.0033492134,0.000859175576
65,0.650060,0.00713288784,9.82111549,0.00341688166,-0.00804312527,-0.00151661783,-0.00158428587
66,0.659955,-0.0108194128,9.81872177,0.00341688166,-0.00437793322,0.00153770857,0.00147004076
67,0.669993,0.0167074353,9.7947855,0.00341688166,-0.00621052925,0.00214857399,-0.00097342045
68,0.680008,-0.032362178,9.79119682,0.00341688166,-0.0068213949,-0.000294887461,-0.00097342045
69,0.690025,0.0179042667,9.80196762,0.00341688166,-0.0068213949,0.00153770857,-0.00219515106
70,0.699882,0.0107233524,9.83308506,0.00341688166,-0.0129300477,-0.00212748349,0.000248309923
71,0.709907,-0.00842577219,9.78042507,0.00341688166,-0.00437793322,-0.00212748349,-0.00219515106
72,0.719912,0.00114879012,9.82350922,0.00341688166,-0.0068213949,0.00214857399,-0.00219515106
73,0.729770,0.00952653587,9.80555725,0.00341688166,-0.00926485658,0.00214857399,-0.000362555031
74,0.739968,-0.00124485046,9.80316353,0.00341688166,-0.00804312527,-0.00212748349,-0.00158428587
75,0.750008,-4.80413437e-05,9.81991959,0.00341688166,-0.00743226055,0.00275943917,-0.00097342045
76,0.760019,0.00473925471,9.81752586,0.00341688166,-0.00865399092,-0.000905752648,-0.000362555031
77,0.769940,0.0083297044,9.84624958,0.00341688166,-0.00621052925,0.00153770857,0.000248309923
78,0.779869,0.00713288784,9.80316353,0.00341688166,-0.00559966452,-0.000905752648,-0.00158428587
79,0.789881,-0.0275748968,9.80555725,0.00341688166,-0.00804312527,-0.00212748349,-0.00280601624
80,0.799924,-0.0180003345,9.84026527,0.00341688166,-0.00804312527,0.00153770857,-0.000362555031
81,0.809943,-0.00363849103,9.77444077,0.00341688166,-0.0098757213,0.00153770857,0.00208090595
82,0.819794,-0.00124485046,9.81154156,0.00341688166,-0.0110974517,0.00214857399,-0.00219515106
83,0.829820,0.00713288784,9.79717922,0.00341688166,-0.00865399092,0.00459203497,-0.000362555031
84,0.839831,-0.00363849103,9.81513214,0.00341688166,-0.0068213949,-0.00518180942,0.000248309923
85,0.849869,0.00234560668,9.81393528,0.00341688166,-0.0110974517,0.00337030459,-0.00219515106
86,0.860424,-0.0120162293,9.82111549,0.00341688166,-0.00621052925,-0.000294887461,-0.00158428587
87,0.870370,-0.00244166702,9.83308506,0.00341688166,-0.00926485658,0.00214857399,-0.00097342045
88,0.879781,0.0131169856,9.80196762,0.00341688166,-0.00621052925,0.000926843146,-0.00097342045
89,0.889819,0.00593607128,9.80555725,0.00341688166,-0.00621052925,0.00398116978,0.00208090595
90,0.900055,0.00473925471,9.83667564,0.00341688166,-0.010486586,-0.00151661783,-0.00158428587
91,0.910369,0.0214947164,9.83547783,0.00341688166,-0.0117083173,-0.000905752648,-0.000362555031
92,0.919781,0.0083297044,9.81752586,0.00341688166,-0.00498879887,0.00275943917,-0.000362555031
93,0.929819,-0.0144098774,9.79717922,0.00341688166,-0.00865399092,0.000926843146,-0.00097342045
94,0.940083,0.0107233524,9.80196762,0.00341688166,-0.00559966452,-0.000294887461,0.000248309923
95,0.950063,-0.0096225962,9.7840147,0.00341688166,-0.00743226055,0.000926843146,-0.00402774708
96,0.959781,0.014313817,9.83667564,0.00341688166,-0.00559966452,-0.00151661783,-0.00097342045
97,0.969820,0.00114879012,9.82949352,0.00341688166,-0.00926485658,0.000315978192,0.000248309923
98,0.980077,0.0179042667,9.81872177,0.00341688166,-0.00559966452,0.00153770857,-0.00097342045
99,0.990043,-0.00124485046,9.80436039,0.00341688166,-0.0068213949,-0.000294887461,-0.00280601624
100,1.000042,0.00713288784,9.81752586,0.00341688166,-0.00926485658,0.00214857399,-0.00097342045
101,1.010056,-0.0180003345,9.79598236,0.00341688166,-0.00559966452,0.00214857399,-0.00097342045
102,1.019919,0.00952653587,9.51832104,0.00341688166,-0.0098757213,0.00153770857,0.00208090595
103,1.029962,-4.80413437e-05,9.81034565,0.00341688166,-0.00498879887,-0.000905752648,-0.00402774708
104,1.039980,-0.00363849103,9.80795097,0.00341688166,-0.0098757213,0.000315978192,-0.00158428587
105,1.050024,0.0202978998,9.81273746,0.00341688166,-0.00926485658,-0.000294887461,-0.00158428587
106,1.059867,-0.0096225962,9.83547783,0.00341688166,-0.00926485658,-0.00212748349,-0.00341688166
107,1.069906,0.00234560668,9.84624958,0.00341688166,-0.00621052925,0.00153770857,-0.00219515106
108,1.079933,-0.00244166702,9.80316353,0.00341688166,-0.00437793322,0.00214857399,0.00147004076
109,1.089994,0.0167074353,9.80675411,0.00341688166,-0.0117083173,0.00214857399,0.00147004076
110,1.099843,0.00234560668,9.81752586,0.00341688166,-0.00254533719,0.000315978192,0.000248309923
111,1.109856,-0.0251812562,9.81154156,0.00341688166,-0.00559966452,0.00398116978,0.000248309923
112,1.119869,-0.00842577219,9.83308506,0.00341688166,-0.0068213949,0.00398116978,-0.000362555031
113,1.129814,0.0131169856,9.84146309,0.00341688166,-0.0117083173,0.00337030459,-0.00219515106
114,1.139781,0.00234560668,9.76486588,0.00341688166,-0.0068213949,-0.00151661783,-0.00097342045
115,1.149794,0.00114879012,9.7947855,0.00341688166,-0.00254533719,-0.000294887461,-0.00280601624
116,1.159813,0.00713288784,9.7995739,0.00341688166,-0.00743226055,0.000926843146,-0.00158428587
117,1.170025,-0.0096225962,9.82829762,0.00341688166,-0.00621052925,0.00337030459,-0.00097342045
118,1.180042,0.0167074353,9.79598236,0.00341688166,-0.00804312527,0.000926843146,-0.00158428587
