Index,Time,((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2]
0,0.000000,-0.005087364,-0.00216955924,9.81865311,-0.011476934,0.00578159932,9.80877209,-0.00146260927,0.00207833014,0.00132625434,-0.000223353025,0.000553821214,6.37127087e-05
1,0.009999,-0.0122120073,-0.00240986701,9.82345676,-0.00429187482,-0.0133785577,9.79440212,-0.000397344818,-5.21987458e-05,0.000260989909,-0.000290007942,0.000100119156,-0.000338390004
2,0.020001,-0.0154679725,-0.00991019234,9.81147957,0.000498164503,-0.0181685966,9.85906696,-0.00146260927,-5.21987458e-05,-0.000804274518,-0.000107883126,4.14463793e-05,5.25994692e-05
3,0.030180,-0.00998694822,-0.0104711456,9.81737614,0.00289318408,-0.0181685966,9.79200649,-0.000397344818,-5.21987458e-05,-0.000804274518,-7.66049343e-05,7.94580501e-06,-4.64759069e-06
4,0.039979,-0.0153499413,-0.011295666,9.81342125,-0.0234520324,-0.00379847945,9.74650097,-0.00146260927,0.0031435946,0.000260989909,-0.000436794333,0.000520474976,-0.000423715624
5,0.049998,-0.0181370396,0.000212382351,9.8000164,-0.00668689422,-0.00619349908,9.83751202,-0.00146260927,-5.21987458e-05,0.000260989909,-0.000268880307,0.000496943831,-0.000353010953
6,0.059999,-0.013369279,-0.00267487159,9.81331635,-0.00668689422,0.012966658,9.81835175,-0.00146260927,0.00207833014,-0.000804274518,-0.000615975121,-4.35261027e-05,-0.000824133458
7,0.069980,-0.0191301778,0.00337496144,9.80709171,-0.011476934,0.0393118747,9.79440212,0.00173318409,-0.00111746322,-0.00186953903,-0.00116679189,5.79576317e-06,-0.00116364239
8,0.080003,-0.014194441,-0.00862247683,9.80583286,0.0124732628,-0.0205636173,9.80637646,-0.000397344818,-5.21987458e-05,-0.000804274518,-0.00130506011,-0.00024372754,-0.00116715464
9,0.090004,-0.0115778027,-0.00707979035,9.80191135,-0.011476934,-0.0014034597,9.8015871,-0.00146260927,-0.00218272768,-0.00186953903,-0.00124324637,0.000138316973,-0.0010178627
10,0.099998,-0.0119547164,-0.00378734688,9.80350685,-0.0234520324,-0.0109835379,9.80877209,0.00173318409,-0.00111746322,-0.000804274518,-0.000787672121,-0.000349985959,-0.00074777886
11,0.110001,-0.0133522414,-0.00857666321,9.79863453,0.0172633026,-0.049303852,9.76566124,0.00173318409,0.0031435946,-0.00293480349,0.00035367714,0.000369936664,-0.00131484889
12,0.119981,-0.00902409293,-0.00521884765,9.8155489,0.00528820371,-0.0325387157,9.85188198,-0.00252787373,0.00207833014,0.000260989909,0.000319454819,0.00129153405,-0.000542514143
13,0.130001,-0.0134142321,-0.0157056153,9.80558872,-0.0210570116,-0.0349337347,9.76326656,-0.000397344818,-5.21987458e-05,0.000260989909,-0.000203237942,0.00120147248,-0.0010443622
14,0.139999,-0.00749992765,-0.00537661463,9.80883694,0.00289318408,0.000991559937,9.86385632,-0.000397344818,0.00207833014,0.00132625434,-0.000522981456,0.00110292027,-0.000901532359
15,0.150004,-0.0181928799,-0.000251296151,9.81835461,-0.00908191409,0.00578159932,9.8279314,-0.00252787373,0.00101306569,0.00132625434,-0.000904065673,0.000749936444,0.000306922768
16,0.159984,-0.0192823522,-0.00498500932,9.80269051,-0.0282420702,-0.0181685966,9.72255135,-0.000397344818,-5.21987458e-05,0.000260989909,-0.00139994023,0.000914512784,-0.000578719424
17,0.169994,-0.0163840018,-0.00577461626,9.8025322,-0.0258470513,-0.00379847945,9.78003216,-0.000397344818,0.00101306569,-0.00186953903,-0.000608235889,0.000633272517,-0.000783607655
18,0.179995,-0.0197408199,-0.0134686921,9.7917738,-0.0474022292,0.00578159932,9.78242683,0.00173318409,0.0031435946,-0.00293480349,-7.90056947e-05,0.00122831762,-0.00115854782
19,0.189995,-0.0200834498,-0.00858923048,9.78852749,-0.030637091,-0.0133785577,9.82074642,-0.000397344818,0.00101306569,-0.00293480349,-0.000487740763,0.00109321158,-0.00143144652
20,0.199997,-0.0229575131,-0.0059127463,9.78751755,0.00528820371,-0.0397237726,9.76805687,-0.000397344818,0.00101306569,0.00132625434,-0.00022819289,0.00147798914,-0.00111040147
21,0.209978,-0.00604553055,-0.00987827126,9.79153442,-0.00429187482,-0.0373287536,9.75847626,-0.00252787373,0.00101306569,0.000260989909,-0.000655350508,0.00159200991,-0.000962857623
22,0.220000,-0.00860047527,0.00181396562,9.79650402,-0.0162669737,0.000991559937,9.79200649,-0.000397344818,0.00207833014,-0.000804274518,-0.000792099454,0.00121766655,-0.00088251289
23,0.230002,-0.0140496418,-0.00651937257,9.79427528,-0.00189685507,0.00817661919,9.844697,-0.00359313819,-0.00111746322,0.000260989909,-0.000449609361,3.90670903e-05,-0.000476110465
24,0.239996,-0.00396332517,-0.0111242356,9.80444813,-0.0378221497,-0.051698871,9.80398178,-0.000397344818,0.00101306569,-0.00186953903,-0.00134067296,0.000389062916,-0.00103649055
25,0.250064,-0.0137361204,-0.0152691239,9.80714798,0.0124732628,-0.0109835379,9.83032608,-0.000397344818,-0.00111746322,-0.00186953903,-0.000665054657,0.000394454983,-0.00118235196
26,0.259976,-0.00972732902,-0.0157410502,9.81117249,-0.0234520324,0.00338657945,9.76566124,0.000667919638,0.00101306569,-0.000804274518,-0.000908996328,0.000399149052,-0.00174669642
27,0.270000,-0.0154640209,-0.00834472943,9.80838299,-0.00429187482,-0.027748676,9.83751202,0.000667919638,-0.00111746322,-0.000804274518,-0.00104389107,7.98649125e-05,-0.00155936589
28,0.280005,-0.0132388631,-0.013515858,9.81867695,-0.052192267,-0.0421187952,9.80637646,-0.00252787373,0.00101306569,-0.000804274518,-0.00130813173,2.50624726e-05,-0.00089849357
29,0.289996,-0.00734411366,-0.00657225354,9.8081522,-0.00429187482,-0.0205636173,9.80398178,-0.00252787373,-0.00111746322,-0.000804274518,-0.0013627836,-6.07458278e-05,-0.000680379453
30,0.299976,-0.0103115346,-0.0111226551,9.79874325,-0.0354271308,-0.051698871,9.77284622,0.000667919638,-0.00111746322,-0.000804274518,-0.00115506165,0.000270703225,-0.000234707011
31,0.309981,-0.00823224336,-0.00709809503,9.79972935,0.00528820371,-0.00379847945,9.77524185,0.000667919638,0.00101306569,0.000260989909,-0.000304838759,0.000149218395,-0.000102149497
32,0.320001,-0.0113917794,-0.00843718462,9.80367184,-0.00908191409,-0.00379847945,9.7488966,0.000667919638,0.00101306569,-0.000804274518,-0.000819199602,-0.000121946709,-0.000518483575
33,0.330000,-0.0126252258,-0.00284641259,9.80675983,-0.00908191409,-0.0205636173,9.78003216,0.000667919638,-0.00111746322,-0.000804274518,-0.000650018745,0.000365778746,-0.000173332082
34,0.339981,-0.00951170735,-0.00219362532,9.78807163,-0.011476934,-0.030143695,9.76805687,0.000667919638,-0.00218272768,-0.00293480349,0.000457030081,0.000196124704,-0.0010014365
35,0.350002,-0.0109413918,-0.0115260873,9.79713631,-0.0354271308,-0.0373287536,9.79919147,-0.00146260927,0.00101306569,-0.00293480349,-0.000447878905,-0.000252349855,-0.00135064044
